Date,Year,Month,MonthName,Quarter,Day,Weekday
2024-01-01,2024,1,January,1,1,Monday
2024-01-02,2024,1,January,1,2,Tuesday
2024-01-03,2024,1,January,1,3,Wednesday
2024-01-04,2024,1,January,1,4,Thursday
2024-01-05,2024,1,January,1,5,Friday
2024-01-06,2024,1,January,1,6,Saturday
2024-01-07,2024,1,January,1,7,Sunday
2024-01-08,2024,1,January,1,8,Monday
2024-01-09,2024,1,January,1,9,Tuesday
2024-01-10,2024,1,January,1,10,Wednesday
2024-01-11,2024,1,January,1,11,Thursday
2024-01-12,2024,1,January,1,12,Friday
2024-01-13,2024,1,January,1,13,Saturday
2024-01-14,2024,1,January,1,14,Sunday
2024-01-15,2024,1,January,1,15,Monday
2024-01-16,2024,1,January,1,16,Tuesday
2024-01-17,2024,1,January,1,17,Wednesday
2024-01-18,2024,1,January,1,18,Thursday
2024-01-19,2024,1,January,1,19,Friday
2024-01-20,2024,1,January,1,20,Saturday
2024-01-21,2024,1,January,1,21,Sunday
2024-01-22,2024,1,January,1,22,Monday
2024-01-23,2024,1,January,1,23,Tuesday
2024-01-24,2024,1,January,1,24,Wednesday
2024-01-25,2024,1,January,1,25,Thursday
2024-01-26,2024,1,January,1,26,Friday
2024-01-27,2024,1,January,1,27,Saturday
2024-01-28,2024,1,January,1,28,Sunday
2024-01-29,2024,1,January,1,29,Monday
2024-01-30,2024,1,January,1,30,Tuesday
2024-01-31,2024,1,January,1,31,Wednesday
2024-02-01,2024,2,February,1,1,Thursday
2024-02-02,2024,2,February,1,2,Friday
2024-02-03,2024,2,February,1,3,Saturday
2024-02-04,2024,2,February,1,4,Sunday
2024-02-05,2024,2,February,1,5,Monday
2024-02-06,2024,2,February,1,6,Tuesday
2024-02-07,2024,2,February,1,7,Wednesday
2024-02-08,2024,2,February,1,8,Thursday
2024-02-09,2024,2,February,1,9,Friday
2024-02-10,2024,2,February,1,10,Saturday
2024-02-11,2024,2,February,1,11,Sunday
2024-02-12,2024,2,February,1,12,Monday
2024-02-13,2024,2,February,1,13,Tuesday
2024-02-14,2024,2,February,1,14,Wednesday
2024-02-15,2024,2,February,1,15,Thursday
2024-02-16,2024,2,February,1,16,Friday
2024-02-17,2024,2,February,1,17,Saturday
2024-02-18,2024,2,February,1,18,Sunday
2024-02-19,2024,2,February,1,19,Monday
2024-02-20,2024,2,February,1,20,Tuesday
2024-02-21,2024,2,February,1,21,Wednesday
2024-02-22,2024,2,February,1,22,Thursday
2024-02-23,2024,2,February,1,23,Friday
2024-02-24,2024,2,February,1,24,Saturday
2024-02-25,2024,2,February,1,25,Sunday
2024-02-26,2024,2,February,1,26,Monday
2024-02-27,2024,2,February,1,27,Tuesday
2024-02-28,2024,2,February,1,28,Wednesday
2024-02-29,2024,2,February,1,29,Thursday
2024-03-01,2024,3,March,1,1,Friday
2024-03-02,2024,3,March,1,2,Saturday
